"location","horizon","reference_date","target_end_date","target","output_type_id","value","output_type"
"ab",0,2025-03-01,2025-03-01,"pct wk covid lab det","0.025",0,"quantile"
"ab",0,2025-03-01,2025-03-01,"pct wk covid lab det","0.1",0.0400000000000011,"quantile"
"ab",0,2025-03-01,2025-03-01,"pct wk covid lab det","0.25",0.8475,"quantile"
"ab",0,2025-03-01,2025-03-01,"pct wk covid lab det","0.5",1.61,"quantile"
"ab",0,2025-03-01,2025-03-01,"pct wk covid lab det","0.75",2.3725,"quantile"
"ab",0,2025-03-01,2025-03-01,"pct wk covid lab det","0.9",3.18,"quantile"
"ab",0,2025-03-01,2025-03-01,"pct wk covid lab det","0.975",3.75275,"quantile"
"ab",1,2025-03-01,2025-03-08,"pct wk covid lab det","0.025",0,"quantile"
"ab",1,2025-03-01,2025-03-08,"pct wk covid lab det","0.1",0,"quantile"
"ab",1,2025-03-01,2025-03-08,"pct wk covid lab det","0.25",0.539919299192992,"quantile"
"ab",1,2025-03-01,2025-03-08,"pct wk covid lab det","0.5",1.61,"quantile"
"ab",1,2025-03-01,2025-03-08,"pct wk covid lab det","0.75",2.68835000850009,"quantile"
"ab",1,2025-03-01,2025-03-08,"pct wk covid lab det","0.9",3.65622124221242,"quantile"
"ab",1,2025-03-01,2025-03-08,"pct wk covid lab det","0.975",4.68784712347123,"quantile"
"ab",2,2025-03-01,2025-03-15,"pct wk covid lab det","0.025",0,"quantile"
"ab",2,2025-03-01,2025-03-15,"pct wk covid lab det","0.1",0,"quantile"
"ab",2,2025-03-01,2025-03-15,"pct wk covid lab det","0.25",0.302959529595295,"quantile"
"ab",2,2025-03-01,2025-03-15,"pct wk covid lab det","0.5",1.61,"quantile"
"ab",2,2025-03-01,2025-03-15,"pct wk covid lab det","0.75",2.91443199431994,"quantile"
"ab",2,2025-03-01,2025-03-15,"pct wk covid lab det","0.9",4.0839391393914,"quantile"
"ab",2,2025-03-01,2025-03-15,"pct wk covid lab det","0.975",5.37061289112891,"quantile"
