reference_date,target,horizon,location,target_end_date,output_type,output_type_id,value
09-11-2024,pct wk covid lab det,-1,Ontario,02-11-2024,quantile,0.025,0.119760479
09-11-2024,pct wk covid lab det,-1,Ontario,02-11-2024,quantile,0.1,0.118343195
09-11-2024,pct wk covid lab det,-1,Ontario,02-11-2024,quantile,0.25,0.112233446
09-11-2024,pct wk covid lab det,-1,Ontario,02-11-2024,quantile,0.5,0.111856823
09-11-2024,pct wk covid lab det,-1,Ontario,02-11-2024,quantile,0.75,0.104931794
09-11-2024,pct wk covid lab det,-1,Ontario,02-11-2024,quantile,0.9,0.099601594
09-11-2024,pct wk covid lab det,-1,Ontario,02-11-2024,quantile,0.975,0.087719298
09-11-2024,pct wk covid lab det,0,Ontario,09-11-2024,quantile,0.025,0.123304562
09-11-2024,pct wk covid lab det,0,Ontario,09-11-2024,quantile,0.1,0.12180268
09-11-2024,pct wk covid lab det,0,Ontario,09-11-2024,quantile,0.25,0.115340254
09-11-2024,pct wk covid lab det,0,Ontario,09-11-2024,quantile,0.5,0.114942529
09-11-2024,pct wk covid lab det,0,Ontario,09-11-2024,quantile,0.75,0.107642626
09-11-2024,pct wk covid lab det,0,Ontario,09-11-2024,quantile,0.9,0.102040816
09-11-2024,pct wk covid lab det,0,Ontario,09-11-2024,quantile,0.975,0.089605735
09-11-2024,pct wk covid lab det,1,Ontario,16-11-2024,quantile,0.025,0.119760479
09-11-2024,pct wk covid lab det,1,Ontario,16-11-2024,quantile,0.1,0.118343195
09-11-2024,pct wk covid lab det,1,Ontario,16-11-2024,quantile,0.25,0.112233446
09-11-2024,pct wk covid lab det,1,Ontario,16-11-2024,quantile,0.5,0.111856823
09-11-2024,pct wk covid lab det,1,Ontario,16-11-2024,quantile,0.75,0.104931794
09-11-2024,pct wk covid lab det,1,Ontario,16-11-2024,quantile,0.9,0.099601594
09-11-2024,pct wk covid lab det,1,Ontario,16-11-2024,quantile,0.975,0.087719298
09-11-2024,pct wk covid lab det,2,Ontario,23-11-2024,quantile,0.025,0.107066381
09-11-2024,pct wk covid lab det,2,Ontario,23-11-2024,quantile,0.1,0.105932203
09-11-2024,pct wk covid lab det,2,Ontario,23-11-2024,quantile,0.25,0.101010101
09-11-2024,pct wk covid lab det,2,Ontario,23-11-2024,quantile,0.5,0.100704935
09-11-2024,pct wk covid lab det,2,Ontario,23-11-2024,quantile,0.75,0.095057034
09-11-2024,pct wk covid lab det,2,Ontario,23-11-2024,quantile,0.9,0.090661831
09-11-2024,pct wk covid lab det,2,Ontario,23-11-2024,quantile,0.975,0.08071025
09-11-2024,pct wk covid lab det,3,Ontario,30-11-2024,quantile,0.025,0.128205128
09-11-2024,pct wk covid lab det,3,Ontario,30-11-2024,quantile,0.1,0.126582278
09-11-2024,pct wk covid lab det,3,Ontario,30-11-2024,quantile,0.25,0.119617225
09-11-2024,pct wk covid lab det,3,Ontario,30-11-2024,quantile,0.5,0.119189511
09-11-2024,pct wk covid lab det,3,Ontario,30-11-2024,quantile,0.75,0.111358575
09-11-2024,pct wk covid lab det,3,Ontario,30-11-2024,quantile,0.9,0.105374078
09-11-2024,pct wk covid lab det,3,Ontario,30-11-2024,quantile,0.975,0.092165899
