time_value,geo_type,geo_value,sarscov2_pct_positive,rsv_pct_positive,flu_pct_positive
2024-06-08,territory,yk,19.444,0.0,4.762
2023-09-23,province,qc,20.48,2.27,0.3
2024-01-20,province,bc,10.92,6.76,10.05
2023-09-30,nation,ca,19.59,1.14,0.6
2023-12-09,province,on,18.67,7.4,7.29
2024-05-18,nation,ca,8.17,0.99,3.06
2024-03-30,province,on,4.28,0.58,5.73
2023-11-11,province,bc,14.41,3.58,4.1
2024-02-10,province,on,8.48,1.62,8.73
2024-01-20,nation,ca,11.35,6.13,11.06
2023-12-09,province,qc,22.78,11.11,7.26
2024-05-11,province,qc,4.95,2.23,5.21
2023-09-09,nation,ca,15.92,0.71,0.49
2024-03-30,province,qc,2.69,3.78,10.16
2023-11-11,province,qc,19.9,7.97,0.91
2024-03-02,nation,ca,7.03,3.79,10.75
2023-10-28,province,on,19.35,4.21,0.56
2024-04-06,nation,ca,4.72,2.08,9.04
2024-01-13,province,qc,14.75,6.14,15.51
2023-12-16,nation,ca,17.78,7.26,15.68
2023-09-23,province,on,18.38,1.43,0.26
2023-10-21,province,on,16.86,3.72,0.54
2024-02-24,nation,ca,7.49,4.78,11.18
2024-04-06,province,bc,10.54,2.02,5.27
2023-12-16,province,bc,10.25,9.5,14.39
2024-05-11,province,on,7.79,0.34,1.63
2024-05-18,province,bc,12.17,0.5,3.17
2023-10-21,province,bc,17.13,1.25,1.17
2024-03-30,province,bc,9.25,1.83,6.22
2023-12-09,province,bc,10.3,9.35,13.23
2023-12-02,province,on,20.06,8.49,4.62
2023-10-21,nation,ca,17.78,2.38,0.81
2024-05-25,nation,ca,7.88,0.82,1.96
2023-09-30,province,qc,21.3,2.38,0.29
2024-03-23,province,bc,9.8,2.81,7.54
2024-01-20,province,qc,11.6,5.82,15.08
2024-03-23,province,on,4.26,0.49,6.69
2024-05-18,province,qc,6.16,1.79,3.93
2023-12-02,province,qc,22.18,11.46,3.93
2024-02-10,province,bc,10.74,6.27,9.23
2023-09-30,province,on,17.86,1.42,0.48
2023-09-02,province,qc,16.3,1.14,0.39
2023-11-11,province,on,18.24,7.62,1.29
2024-03-23,province,qc,2.25,3.33,9.36
2024-01-20,province,on,12.87,2.99,9.1
2023-12-09,nation,ca,17.53,7.38,15.03
2024-03-02,province,bc,11.76,4.32,7.21
2023-09-30,province,bc,23.59,0.56,1.42
2024-03-30,nation,ca,4.85,2.32,9.31
2023-12-30,province,on,17.68,4.62,15.65
2024-01-06,province,on,16.83,4.03,12.21
2024-05-18,province,on,8.81,0.27,1.16
2024-04-27,province,qc,3.55,2.6,7.28
2024-04-06,province,on,4.63,0.69,6.13
2023-11-11,nation,ca,18.17,5.12,5.07
2023-09-23,province,bc,22.59,0.51,1.47
2024-02-24,province,on,6.82,1.14,8.72
2023-11-04,province,on,17.09,5.8,0.57
2024-01-13,nation,ca,13.03,6.26,11.72
2023-12-23,province,on,18.73,4.64,11.9
2023-09-09,province,on,15.46,0.88,0.4
2023-10-28,nation,ca,17.89,3.25,1.26
2023-09-16,province,bc,20.64,0.41,1.33
2024-04-20,province,on,4.61,0.67,3.93
2024-04-20,province,qc,2.39,2.51,8.03
2024-02-17,province,on,7.48,1.16,9.27
2024-02-17,province,bc,11.04,4.91,8.21
2023-12-23,province,qc,22.12,9.14,15.5
2023-12-30,nation,ca,15.35,7.41,18.7
2024-01-06,province,qc,17.71,7.31,17.52
2024-05-04,province,bc,10.6,0.82,5.12
2023-09-16,nation,ca,16.49,0.82,0.51
2024-04-27,nation,ca,5.53,1.47,5.86
2024-02-24,province,bc,12.45,5.57,7.62
2024-04-27,province,bc,9.32,1.02,5.57
2024-05-04,nation,ca,6.48,1.27,5.32
2023-11-04,nation,ca,17.74,4.07,2.73
2023-11-04,province,bc,15.98,2.36,2.69
2023-10-28,province,bc,14.87,1.74,1.55
2024-04-27,province,on,5.46,0.64,2.92
2024-04-20,province,bc,9.02,1.67,4.54
