reference_date,target_end_date,horizon,location,target,output_type,output_type_id,value
2024-12-14,2024-12-07,-1,ca,pct wk flu lab det,quantile,0.025,0
2024-12-14,2024-12-07,-1,ca,pct wk flu lab det,quantile,0.1,0
2024-12-14,2024-12-07,-1,ca,pct wk flu lab det,quantile,0.25,0
2024-12-14,2024-12-07,-1,ca,pct wk flu lab det,quantile,0.5,3
2024-12-14,2024-12-07,-1,ca,pct wk flu lab det,quantile,0.75,7.592499999999999
2024-12-14,2024-12-07,-1,ca,pct wk flu lab det,quantile,0.9,11.648000000000003
2024-12-14,2024-12-07,-1,ca,pct wk flu lab det,quantile,0.975,15.524499999999989
2024-12-14,2024-12-07,-1,atlantic,pct wk flu lab det,quantile,0.025,0
2024-12-14,2024-12-07,-1,atlantic,pct wk flu lab det,quantile,0.1,0
2024-12-14,2024-12-07,-1,atlantic,pct wk flu lab det,quantile,0.25,0
2024-12-14,2024-12-07,-1,atlantic,pct wk flu lab det,quantile,0.5,3
2024-12-14,2024-12-07,-1,atlantic,pct wk flu lab det,quantile,0.75,7.592499999999999
2024-12-14,2024-12-07,-1,atlantic,pct wk flu lab det,quantile,0.9,11.648000000000003
2024-12-14,2024-12-07,-1,atlantic,pct wk flu lab det,quantile,0.975,15.524499999999989
2024-12-14,2024-12-07,-1,qc,pct wk flu lab det,quantile,0.025,0
2024-12-14,2024-12-07,-1,qc,pct wk flu lab det,quantile,0.1,0
2024-12-14,2024-12-07,-1,qc,pct wk flu lab det,quantile,0.25,0
2024-12-14,2024-12-07,-1,qc,pct wk flu lab det,quantile,0.5,1.5
2024-12-14,2024-12-07,-1,qc,pct wk flu lab det,quantile,0.75,6.842499999999999
2024-12-14,2024-12-07,-1,qc,pct wk flu lab det,quantile,0.9,10.898000000000003
2024-12-14,2024-12-07,-1,qc,pct wk flu lab det,quantile,0.975,14.774499999999989
2024-12-14,2024-12-07,-1,on,pct wk flu lab det,quantile,0.025,0
2024-12-14,2024-12-07,-1,on,pct wk flu lab det,quantile,0.1,0
2024-12-14,2024-12-07,-1,on,pct wk flu lab det,quantile,0.25,0
2024-12-14,2024-12-07,-1,on,pct wk flu lab det,quantile,0.5,1.6
2024-12-14,2024-12-07,-1,on,pct wk flu lab det,quantile,0.75,6.892499999999999
2024-12-14,2024-12-07,-1,on,pct wk flu lab det,quantile,0.9,10.948000000000004
2024-12-14,2024-12-07,-1,on,pct wk flu lab det,quantile,0.975,14.82449999999999
2024-12-14,2024-12-07,-1,prairies,pct wk flu lab det,quantile,0.025,0
2024-12-14,2024-12-07,-1,prairies,pct wk flu lab det,quantile,0.1,0
2024-12-14,2024-12-07,-1,prairies,pct wk flu lab det,quantile,0.25,0
2024-12-14,2024-12-07,-1,prairies,pct wk flu lab det,quantile,0.5,6.2
2024-12-14,2024-12-07,-1,prairies,pct wk flu lab det,quantile,0.75,9.192499999999999
2024-12-14,2024-12-07,-1,prairies,pct wk flu lab det,quantile,0.9,13.248000000000003
2024-12-14,2024-12-07,-1,prairies,pct wk flu lab det,quantile,0.975,17.12449999999999
2024-12-14,2024-12-07,-1,bc,pct wk flu lab det,quantile,0.025,0
2024-12-14,2024-12-07,-1,bc,pct wk flu lab det,quantile,0.1,0
2024-12-14,2024-12-07,-1,bc,pct wk flu lab det,quantile,0.25,0
2024-12-14,2024-12-07,-1,bc,pct wk flu lab det,quantile,0.5,4.4
2024-12-14,2024-12-07,-1,bc,pct wk flu lab det,quantile,0.75,8.2925
2024-12-14,2024-12-07,-1,bc,pct wk flu lab det,quantile,0.9,12.348000000000003
2024-12-14,2024-12-07,-1,bc,pct wk flu lab det,quantile,0.975,16.22449999999999
2024-12-14,2024-12-07,-1,territories,pct wk flu lab det,quantile,0.025,0
2024-12-14,2024-12-07,-1,territories,pct wk flu lab det,quantile,0.1,0
2024-12-14,2024-12-07,-1,territories,pct wk flu lab det,quantile,0.25,0
2024-12-14,2024-12-07,-1,territories,pct wk flu lab det,quantile,0.5,0
2024-12-14,2024-12-07,-1,territories,pct wk flu lab det,quantile,0.75,6.092499999999999
2024-12-14,2024-12-07,-1,territories,pct wk flu lab det,quantile,0.9,10.148000000000003
2024-12-14,2024-12-07,-1,territories,pct wk flu lab det,quantile,0.975,14.024499999999989
2024-12-14,2024-12-14,0,ca,pct wk flu lab det,quantile,0.025,3.3358125000000007
2024-12-14,2024-12-14,0,ca,pct wk flu lab det,quantile,0.1,4.06425
2024-12-14,2024-12-14,0,ca,pct wk flu lab det,quantile,0.25,6.026250000000001
2024-12-14,2024-12-14,0,ca,pct wk flu lab det,quantile,0.5,11.1525
2024-12-14,2024-12-14,0,ca,pct wk flu lab det,quantile,0.75,20.919375000000002
2024-12-14,2024-12-14,0,ca,pct wk flu lab det,quantile,0.9,27.41250000000001
2024-12-14,2024-12-14,0,ca,pct wk flu lab det,quantile,0.975,32.29181249999999
2024-12-14,2024-12-14,0,atlantic,pct wk flu lab det,quantile,0.025,0
2024-12-14,2024-12-14,0,atlantic,pct wk flu lab det,quantile,0.1,0
2024-12-14,2024-12-14,0,atlantic,pct wk flu lab det,quantile,0.25,0
2024-12-14,2024-12-14,0,atlantic,pct wk flu lab det,quantile,0.5,3.75
2024-12-14,2024-12-14,0,atlantic,pct wk flu lab det,quantile,0.75,13.516875
2024-12-14,2024-12-14,0,atlantic,pct wk flu lab det,quantile,0.9,20.010000000000005
2024-12-14,2024-12-14,0,atlantic,pct wk flu lab det,quantile,0.975,24.889312499999996
2024-12-14,2024-12-14,0,qc,pct wk flu lab det,quantile,0.025,0
2024-12-14,2024-12-14,0,qc,pct wk flu lab det,quantile,0.1,0
2024-12-14,2024-12-14,0,qc,pct wk flu lab det,quantile,0.25,1.7737500000000002
2024-12-14,2024-12-14,0,qc,pct wk flu lab det,quantile,0.5,6.8999999999999995
2024-12-14,2024-12-14,0,qc,pct wk flu lab det,quantile,0.75,16.666875
2024-12-14,2024-12-14,0,qc,pct wk flu lab det,quantile,0.9,23.160000000000004
2024-12-14,2024-12-14,0,qc,pct wk flu lab det,quantile,0.975,28.03931249999999
2024-12-14,2024-12-14,0,on,pct wk flu lab det,quantile,0.025,0
2024-12-14,2024-12-14,0,on,pct wk flu lab det,quantile,0.1,0
2024-12-14,2024-12-14,0,on,pct wk flu lab det,quantile,0.25,0
2024-12-14,2024-12-14,0,on,pct wk flu lab det,quantile,0.5,4.3575
